                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2654,                 2.0518,                 1.3641,                 1.0472,                0.48971,                0.29212,                0.30546,                0.20625,                0.49412,                0.28053,                0.29285,                0.17917,                 1.1307,                 1.5607,                 0.8398,                0.90821,               0.003331,               0.003331,               0.003331
                      2,                 1.2188,                 1.9106,                 0.9227,                 1.0131,                0.45568,                0.30655,                0.30088,                0.19388,                0.43662,                0.29447,                0.28532,                0.16961,                 1.1371,                 1.5437,                0.80655,                0.91045,              0.0065323,              0.0065323,              0.0065323
                      3,                 1.2218,                 1.8887,                 0.8946,                 1.0144,                 0.4725,                0.25186,                0.25452,                0.15966,                0.47178,                0.24533,                 0.2447,                0.14133,                 1.1544,                 1.5606,                0.84665,                0.92281,              0.0096017,              0.0096017,              0.0096017
                      4,                 1.2225,                 1.8871,                0.88628,                 1.0193,                0.41159,                0.28077,                0.26972,                  0.173,                0.39874,                0.27434,                0.25581,                0.15121,                 1.1211,                 1.5163,                0.79386,                0.90846,               0.009406,               0.009406,               0.009406
                      5,                 1.1885,                 1.8277,                0.84068,                 1.0068,                0.47765,                0.29329,                 0.2874,                0.18334,                0.45779,                0.28132,                0.27206,                0.16125,                 1.1025,                  1.472,                0.76483,                0.90374,               0.009208,               0.009208,               0.009208
                      6,                 1.1675,                 1.7969,                0.82032,                0.99879,                0.46396,                0.32121,                0.31815,                0.20376,                 0.4596,                0.30932,                0.30348,                0.17983,                 1.0902,                 1.4596,                0.74236,                0.89718,                0.00901,                0.00901,                0.00901
                      7,                 1.1564,                 1.7688,                0.80086,                0.99289,                0.46548,                0.32673,                0.33012,                0.21456,                0.45172,                 0.3092,                0.31485,                0.18837,                 1.0772,                 1.4331,                0.72738,                0.89373,               0.008812,               0.008812,               0.008812
                      8,                 1.1403,                 1.7445,                0.78645,                0.98595,                0.49775,                0.32398,                0.33782,                0.21897,                0.47993,                0.31502,                0.32071,                0.19377,                 1.0668,                 1.4284,                0.71367,                0.88852,               0.008614,               0.008614,               0.008614
                      9,                 1.1333,                  1.726,                0.77568,                0.98398,                0.45735,                0.33769,                0.34223,                0.22352,                0.44811,                0.32465,                0.32926,                0.19664,                 1.0601,                 1.4158,                0.70659,                0.88622,               0.008416,               0.008416,               0.008416
                     10,                 1.1247,                 1.7148,                0.76785,                0.98071,                0.49382,                0.35241,                0.36269,                0.23759,                0.48839,                0.33555,                0.34612,                  0.208,                 1.0564,                 1.3966,                0.69511,                0.88465,               0.008218,               0.008218,               0.008218
                     11,                 1.1192,                 1.7012,                0.76112,                0.97695,                0.47872,                0.35744,                0.35991,                0.23608,                0.46336,                0.34611,                0.34464,                0.20861,                 1.0513,                 1.3906,                0.69075,                0.88178,                0.00802,                0.00802,                0.00802
                     12,                 1.1144,                 1.6947,                0.75551,                0.97554,                0.48361,                0.35814,                0.36687,                0.24333,                0.47772,                0.34923,                0.35318,                0.21416,                 1.0451,                 1.3851,                0.68647,                0.87987,               0.007822,               0.007822,               0.007822
                     13,                 1.1111,                 1.6885,                0.75323,                0.97339,                0.48389,                0.38526,                0.37985,                  0.255,                0.48018,                 0.3652,                0.36381,                0.22401,                 1.0405,                 1.3737,                0.67789,                0.87847,               0.007624,               0.007624,               0.007624
                     14,                 1.1056,                 1.6811,                0.74731,                0.97119,                0.50697,                0.37971,                0.38469,                 0.2578,                0.49204,                0.36926,                0.36825,                0.22554,                 1.0377,                 1.3655,                0.67374,                0.87747,               0.007426,               0.007426,               0.007426
                     15,                 1.1028,                  1.674,                 0.7425,                0.96976,                0.48837,                0.36925,                0.38863,                0.26026,                0.48265,                0.36053,                0.37249,                0.22798,                 1.0353,                 1.3641,                 0.6697,                0.87629,               0.007228,               0.007228,               0.007228
                     16,                 1.0993,                 1.6668,                0.73733,                0.96786,                0.52833,                0.37574,                0.39319,                0.26552,                0.54052,                0.35761,                0.37694,                0.23134,                 1.0309,                 1.3602,                0.66652,                0.87448,                0.00703,                0.00703,                0.00703
                     17,                  1.094,                 1.6579,                0.73572,                0.96724,                0.49745,                0.38291,                0.39402,                0.26378,                0.50602,                0.36657,                0.37678,                0.23012,                 1.0279,                 1.3544,                0.66285,                0.87362,               0.006832,               0.006832,               0.006832
                     18,                 1.0929,                 1.6502,                0.73246,                0.96657,                0.52333,                0.37842,                0.39697,                0.26645,                0.54446,                0.35321,                0.37928,                0.23217,                 1.0262,                 1.3528,                 0.6621,                0.87319,               0.006634,               0.006634,               0.006634
                     19,                 1.0885,                 1.6536,                0.72958,                0.96431,                0.52067,                0.38823,                0.39813,                0.26793,                0.52194,                0.37072,                0.38222,                0.23453,                 1.0248,                 1.3495,                0.66041,                0.87265,               0.006436,               0.006436,               0.006436
                     20,                 1.0866,                 1.6447,                0.72675,                0.96316,                0.51065,                0.39129,                0.39941,                0.26885,                0.50546,                0.37636,                 0.3809,                 0.2352,                 1.0235,                 1.3471,                0.65875,                0.87201,               0.006238,               0.006238,               0.006238
                     21,                 1.0818,                 1.6352,                 0.7216,                 0.9617,                0.51577,                 0.3897,                0.39966,                0.26921,                0.50444,                0.37639,                0.38199,                0.23608,                 1.0223,                 1.3455,                0.65702,                0.87161,                0.00604,                0.00604,                0.00604
                     22,                 1.0793,                 1.6343,                0.71773,                0.96074,                0.51394,                0.38969,                0.39934,                0.26959,                0.52571,                0.36983,                0.38284,                0.23636,                 1.0215,                 1.3444,                0.65566,                0.87116,               0.005842,               0.005842,               0.005842
