                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2809,                 2.1012,                 1.5735,                 1.0639,                0.52566,                0.26824,                0.27446,                0.19023,                0.50264,                0.26244,                0.26026,                0.16364,                 1.1039,                 1.5324,                0.83787,                0.90437,              0.0033265,              0.0033265,              0.0033265
                      2,                 1.1939,                 1.8776,                0.93243,                 1.0003,                 0.5209,                0.31085,                0.32504,                 0.2168,                 0.5475,                0.29286,                0.31189,                0.19057,                 1.1352,                 1.5014,                0.86656,                0.91538,               0.006528,               0.006528,               0.006528
                      3,                 1.2202,                 1.8934,                0.90842,                 1.0138,                0.48099,                0.26676,                0.24405,                 0.1512,                0.46584,                0.24937,                0.22787,                0.12685,                 1.1574,                 1.6352,                0.96308,                0.93086,              0.0095975,              0.0095975,              0.0095975
                      4,                 1.2219,                 1.8836,                0.88985,                 1.0181,                 0.4701,                0.28713,                0.29608,                 0.1877,                0.46178,                0.27755,                0.28452,                 0.1679,                 1.1335,                   1.55,                0.83821,                0.92088,               0.009406,               0.009406,               0.009406
                      5,                 1.1857,                 1.8329,                 0.8467,                 1.0065,                0.46765,                0.31711,                0.31629,                0.20642,                0.45907,                0.30347,                0.29939,                0.17955,                 1.1093,                 1.5213,                0.78474,                0.91246,               0.009406,               0.009406,               0.009406
                      6,                 1.1662,                 1.7929,                0.81847,                0.99696,                0.49822,                0.31783,                0.32387,                0.20935,                 0.4788,                0.30717,                0.31056,                 0.1836,                 1.0958,                 1.5038,                0.75184,                0.90932,               0.009208,               0.009208,               0.009208
                      7,                 1.1496,                 1.7606,                0.79946,                0.99108,                0.47865,                0.33142,                0.33499,                0.22094,                0.47534,                0.31865,                0.32336,                0.19281,                 1.0766,                 1.4421,                0.74327,                0.89844,                0.00901,                0.00901,                0.00901
                      8,                  1.139,                 1.7423,                 0.7864,                0.98568,                0.47563,                0.33486,                0.33963,                0.21922,                0.47524,                0.31642,                0.32173,                0.19061,                 1.0753,                 1.4168,                 0.7348,                0.90004,               0.008812,               0.008812,               0.008812
                      9,                 1.1304,                 1.7257,                  0.777,                0.98276,                 0.4833,                0.34304,                0.35107,                0.23202,                0.47304,                0.33409,                0.33603,                0.20052,                  1.058,                 1.4073,                0.71429,                0.89209,               0.008614,               0.008614,               0.008614
                     10,                 1.1218,                 1.7121,                0.76942,                0.97966,                0.50235,                0.36045,                0.36479,                0.23991,                0.50049,                0.35157,                0.35052,                0.20984,                 1.0578,                 1.4157,                0.71089,                0.89671,               0.008416,               0.008416,               0.008416
                     11,                 1.1178,                 1.7012,                0.76086,                0.97769,                0.52566,                0.34828,                0.36853,                0.24427,                0.51636,                0.33715,                0.35343,                0.21351,                 1.0517,                 1.3897,                0.69957,                0.89148,               0.008218,               0.008218,               0.008218
                     12,                 1.1106,                 1.6906,                0.75492,                0.97498,                0.53557,                0.34686,                  0.368,                0.24548,                0.52657,                0.33699,                0.35506,                0.21495,                 1.0478,                 1.3826,                0.69188,                 0.8917,                0.00802,                0.00802,                0.00802
                     13,                 1.1094,                 1.6868,                 0.7534,                0.97224,                0.51852,                 0.3523,                0.37216,                0.24915,                0.50707,                0.34215,                0.35585,                 0.2143,                 1.0403,                 1.3852,                0.69311,                0.88747,               0.007822,               0.007822,               0.007822
                     14,                 1.1029,                 1.6759,                  0.746,                0.97098,                0.50312,                0.36879,                 0.3773,                0.25151,                0.50442,                0.35548,                0.36213,                0.21791,                 1.0353,                 1.3625,                0.68837,                0.88543,               0.007624,               0.007624,               0.007624
                     15,                 1.0991,                 1.6683,                0.74107,                0.96888,                0.53863,                0.36662,                0.38553,                0.25975,                0.53479,                0.35369,                0.37001,                0.22508,                 1.0336,                 1.3728,                0.68812,                0.88388,               0.007426,               0.007426,               0.007426
                     16,                 1.0916,                 1.6566,                0.73382,                0.96643,                0.55612,                0.36377,                0.39747,                0.26814,                0.54267,                0.35287,                0.37821,                0.23072,                   1.03,                 1.3576,                0.67237,                0.88343,               0.007228,               0.007228,               0.007228
                     17,                 1.0903,                 1.6552,                 0.7318,                0.96592,                0.52461,                 0.3823,                 0.3937,                 0.2639,                0.49801,                0.36588,                0.37508,                0.22903,                 1.0245,                 1.3553,                0.66866,                0.88122,                0.00703,                0.00703,                0.00703
                     18,                 1.0885,                 1.6465,                0.72895,                0.96458,                 0.5682,                0.36712,                0.39608,                 0.2696,                0.55903,                   0.36,                0.38051,                0.23433,                 1.0178,                 1.3426,                0.66307,                0.87879,               0.006832,               0.006832,               0.006832
                     19,                 1.0844,                 1.6421,                0.72277,                0.96231,                0.57414,                0.37086,                0.40272,                0.27312,                0.55767,                0.36329,                0.38414,                 0.2373,                 1.0185,                 1.3375,                0.66054,                0.88028,               0.006634,               0.006634,               0.006634
                     20,                 1.0783,                 1.6348,                0.72236,                0.96176,                0.55739,                0.38925,                0.40384,                0.27522,                0.54554,                0.37064,                  0.386,                0.23693,                 1.0181,                 1.3296,                0.65983,                0.88056,               0.006436,               0.006436,               0.006436
                     21,                 1.0785,                 1.6337,                0.71803,                0.96114,                0.55169,                0.39089,                0.40676,                0.27654,                0.54037,                0.37756,                0.38665,                0.23806,                 1.0162,                  1.326,                0.65365,                0.87858,               0.006238,               0.006238,               0.006238
