                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3174,                 2.0552,                 1.5857,                 1.0305,                0.52558,                0.26329,                0.27397,                0.18696,                 0.5299,                0.25248,                0.26221,                0.16447,                 1.2313,                 2.1418,                 1.1362,                 1.0614,              0.0033275,              0.0033275,              0.0033275
                      2,                 1.2294,                 1.8299,                 0.9221,                0.97098,                0.48973,                0.28566,                0.29192,                0.19087,                0.47609,                0.26961,                0.27741,                 0.1635,                 1.3222,                 2.2465,                 1.1623,                 1.0981,               0.006529,               0.006529,               0.006529
                      3,                 1.2491,                 1.8462,                0.90337,                0.98081,                0.37236,                0.23954,                0.22846,                0.14029,                0.36269,                0.22799,                0.21665,                0.12264,                 1.4276,                  2.537,                 1.3151,                 1.1633,              0.0095984,              0.0095984,              0.0095984
                      4,                 1.2462,                 1.8305,                 0.8701,                 0.9805,                0.48148,                0.23292,                0.25361,                0.15699,                0.46662,                0.22315,                0.23923,                0.13204,                  1.419,                 2.3828,                 1.1887,                 1.1657,               0.009406,               0.009406,               0.009406
                      5,                 1.2116,                 1.7696,                 0.8304,                0.97125,                0.44455,                0.27048,                0.26791,                0.16453,                 0.4313,                0.25985,                0.25772,                0.14604,                 1.3573,                 2.3711,                 1.0901,                 1.1226,               0.009406,               0.009406,               0.009406
                      6,                 1.1925,                 1.7357,                 0.8014,                0.96353,                0.54384,                0.25612,                0.28653,                0.18106,                0.52858,                0.24708,                 0.2714,                0.15444,                 1.3182,                  2.266,                 1.1418,                 1.1063,               0.009208,               0.009208,               0.009208
                      7,                 1.1743,                 1.7014,                0.78229,                0.95758,                 0.4185,                0.30448,                0.29252,                0.18331,                0.40774,                0.28926,                0.27531,                0.15854,                 1.3391,                 2.2197,                   1.21,                 1.1174,                0.00901,                0.00901,                0.00901
                      8,                 1.1657,                 1.6868,                0.77234,                0.95394,                0.45277,                0.30353,                 0.3071,                0.19696,                0.43298,                0.29722,                 0.2929,                0.16864,                 1.3193,                 2.2064,                 1.1505,                 1.1087,               0.008812,               0.008812,               0.008812
                      9,                 1.1563,                 1.6704,                 0.7609,                0.95111,                0.49488,                0.29364,                    0.3,                0.19173,                0.48743,                0.28816,                0.28804,                0.16568,                 1.3267,                 2.1667,                    inf,                 1.1022,               0.008614,               0.008614,               0.008614
                     10,                 1.1491,                 1.6595,                0.75344,                0.94871,                0.48477,                0.30846,                0.30782,                0.19891,                0.47737,                0.30211,                0.29925,                0.17553,                 1.3213,                 2.1755,                 1.1817,                  1.112,               0.008416,               0.008416,               0.008416
                     11,                 1.1445,                 1.6497,                0.74693,                0.94652,                0.49972,                0.30547,                0.32229,                0.20876,                0.49171,                0.29673,                0.30826,                0.17942,                 1.3017,                  2.154,                 1.2048,                 1.0977,               0.008218,               0.008218,               0.008218
