                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0874,                 1.6031,                0.90549,                 0.9885,                0.86242,                0.83835,                0.88035,                0.61696,                0.85835,                0.83892,                0.88295,                0.57771,                 1.0501,                 1.3249,                0.64641,                0.87811,              0.0033322,              0.0033322,              0.0033322
                      2,                 1.1301,                  1.649,                0.73707,                 1.0086,                0.87865,                0.83415,                0.88995,                0.61868,                0.87719,                0.82992,                0.89326,                0.58745,                 1.0907,                 1.3656,                0.67953,                0.89129,              0.0065336,              0.0065336,              0.0065336
                      3,                 1.1754,                 1.7191,                0.74913,                 1.0364,                0.85534,                0.82666,                 0.8831,                0.60469,                0.85692,                0.82339,                0.88655,                0.58052,                 1.1058,                 1.4114,                0.66809,                0.91008,              0.0096029,              0.0096029,              0.0096029
                      4,                 1.1612,                 1.6861,                0.72566,                 1.0332,                0.85629,                0.85791,                0.90297,                0.63079,                 0.8573,                0.85649,                0.90695,                0.60095,                 1.0584,                 1.3276,                0.64584,                0.89319,               0.009406,               0.009406,               0.009406
                      5,                  1.105,                 1.5787,                0.67462,                 1.0126,                0.87102,                0.87427,                0.91311,                0.64661,                0.86947,                0.86944,                0.91508,                0.61393,                 1.0391,                 1.2652,                0.61271,                0.88274,               0.009208,               0.009208,               0.009208
                      6,                 1.0724,                 1.5255,                0.64911,                0.99861,                0.87457,                0.88354,                 0.9192,                0.66363,                0.87597,                0.87555,                0.92104,                0.62363,                 1.0009,                 1.2405,                0.58241,                0.87184,                0.00901,                0.00901,                0.00901
                      7,                 1.0489,                 1.4829,                0.63101,                0.99041,                0.88299,                0.88525,                0.91891,                0.66531,                  0.878,                0.87954,                0.91762,                0.63184,                0.99628,                 1.2033,                0.57665,                0.86842,               0.008812,               0.008812,               0.008812
                      8,                 1.0337,                 1.4575,                0.61936,                0.98428,                0.88685,                0.88287,                 0.9245,                0.67564,                0.88239,                0.87973,                0.92562,                0.63575,                0.98274,                 1.1818,                0.56105,                0.86048,               0.008614,               0.008614,               0.008614
                      9,                 1.0224,                 1.4307,                0.60799,                0.97787,                0.88324,                0.89184,                0.92696,                0.68203,                 0.8764,                0.88546,                0.92629,                0.63478,                0.97387,                 1.1729,                0.55455,                0.85954,               0.008416,               0.008416,               0.008416
                     10,                 1.0089,                 1.4089,                0.59973,                0.97202,                0.88192,                0.89348,                0.92822,                0.68319,                0.87747,                 0.8842,                 0.9273,                0.64127,                 0.9664,                 1.1562,                0.54702,                0.85276,               0.008218,               0.008218,               0.008218
