                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 2.0163,                 1.2065,                  1.138,                0.81225,                0.75589,                0.80862,                0.52781,                0.81323,                0.75804,                0.81617,                0.52594,                 1.1706,                 1.4888,                0.83007,                 0.9424,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.2803,                 1.8991,                0.92094,                 1.1139,                0.84245,                0.78251,                0.84318,                0.56207,                0.84068,                 0.7851,                0.85002,                 0.5474,                  1.145,                 1.4322,                0.76495,                0.93727,              0.0065327,              0.0065327,              0.0065327
                      3,                 1.2839,                  1.899,                 0.8995,                 1.1159,                0.84009,                 0.7927,                0.85492,                0.56554,                0.83977,                0.79408,                   0.86,                0.55959,                 1.1601,                 1.4479,                0.79059,                0.94464,               0.009602,               0.009602,               0.009602
                      4,                 1.2715,                 1.8631,                0.86914,                 1.1112,                0.83563,                0.79604,                0.85798,                0.57222,                0.83065,                0.80027,                0.86558,                0.56783,                 1.1344,                 1.4023,                0.75066,                0.93297,               0.009406,               0.009406,               0.009406
                      5,                 1.2526,                  1.812,                0.84009,                 1.1018,                0.84306,                0.82283,                0.87917,                0.59161,                0.84221,                0.82357,                0.88511,                  0.589,                 1.1242,                 1.3799,                0.72099,                0.92586,               0.009208,               0.009208,               0.009208
                      6,                 1.2381,                 1.7902,                0.82313,                 1.0949,                0.83589,                0.84351,                0.88867,                0.60105,                0.83854,                0.84621,                0.89642,                  0.599,                 1.1099,                  1.343,                0.71089,                0.92087,                0.00901,                0.00901,                0.00901
                      7,                 1.2316,                 1.7643,                0.81154,                 1.0898,                0.84526,                0.84155,                0.88943,                0.60888,                0.84209,                0.84816,                0.89742,                0.60107,                 1.1018,                 1.3368,                0.70467,                0.91618,               0.008812,               0.008812,               0.008812
                      8,                  1.227,                 1.7534,                0.80682,                 1.0883,                0.85278,                0.84363,                0.89642,                0.60997,                0.85322,                 0.8441,                 0.9038,                0.60474,                 1.0994,                 1.3204,                0.69844,                0.91552,               0.008614,               0.008614,               0.008614
                      9,                 1.2192,                 1.7389,                0.79788,                 1.0838,                0.86245,                0.83856,                0.89767,                0.61741,                0.85895,                0.84131,                0.90335,                0.60063,                 1.0923,                 1.3264,                0.69404,                0.91263,               0.008416,               0.008416,               0.008416
                     10,                 1.2177,                  1.733,                0.79461,                 1.0831,                0.85755,                 0.8383,                0.89934,                0.61872,                0.84712,                0.85465,                0.90735,                0.60592,                 1.0923,                 1.3138,                0.68976,                0.91202,               0.008218,               0.008218,               0.008218
                     11,                 1.2178,                  1.721,                0.79131,                 1.0801,                0.85813,                0.84723,                0.89967,                0.62092,                0.84585,                 0.8582,                0.90486,                0.60619,                 1.0875,                 1.3048,                0.68753,                0.90985,                0.00802,                0.00802,                0.00802
                     12,                 1.2112,                 1.7141,                0.78801,                   1.08,                0.86142,                0.84903,                0.90232,                0.62331,                0.85897,                0.85321,                0.90918,                 0.6118,                 1.0852,                 1.2986,                0.68213,                0.90832,               0.007822,               0.007822,               0.007822
                     13,                 1.2081,                 1.7073,                 0.7847,                 1.0776,                0.86955,                0.84993,                 0.9049,                0.62434,                0.86661,                0.85316,                0.91129,                0.61271,                  1.085,                 1.2938,                0.67966,                0.90845,               0.007624,               0.007624,               0.007624
                     14,                  1.206,                 1.7025,                0.77962,                 1.0754,                0.86704,                0.85138,                0.90447,                0.62545,                0.86723,                0.85162,                  0.911,                0.61496,                 1.0825,                 1.2886,                0.67677,                 0.9067,               0.007426,               0.007426,               0.007426
                     15,                 1.2045,                 1.6972,                0.77805,                 1.0747,                0.87241,                0.85085,                0.90564,                0.62695,                0.86792,                0.85497,                0.91238,                0.61603,                 1.0822,                 1.2858,                0.67618,                0.90621,               0.007228,               0.007228,               0.007228
                     16,                 1.2039,                 1.6939,                0.77716,                 1.0737,                0.87012,                0.85301,                0.90608,                0.62788,                0.86686,                 0.8544,                0.91186,                0.61665,                 1.0813,                  1.282,                0.67426,                0.90556,                0.00703,                0.00703,                0.00703
                     17,                 1.1972,                 1.6885,                0.77251,                 1.0718,                0.87098,                0.85213,                0.90637,                0.62797,                0.86742,                0.85248,                0.91182,                0.61616,                 1.0796,                 1.2795,                0.67365,                0.90469,               0.006832,               0.006832,               0.006832
                     18,                 1.2003,                 1.6859,                0.77282,                 1.0727,                0.86795,                0.85547,                0.90707,                0.62819,                0.86579,                 0.8559,                0.91306,                 0.6172,                 1.0787,                 1.2783,                0.67336,                0.90437,               0.006634,               0.006634,               0.006634
                     19,                 1.1954,                 1.6763,                0.76972,                 1.0716,                0.86206,                0.85975,                0.90704,                0.62924,                0.85997,                0.85971,                0.91294,                0.61817,                 1.0781,                 1.2757,                 0.6729,                0.90403,               0.006436,               0.006436,               0.006436
                     20,                 1.1973,                 1.6787,                 0.7692,                 1.0703,                0.86104,                0.86231,                0.90748,                 0.6298,                0.86003,                0.86142,                0.91359,                0.61862,                 1.0781,                 1.2742,                0.67213,                0.90401,               0.006238,               0.006238,               0.006238
                     21,                 1.1919,                 1.6726,                0.76712,                 1.0686,                0.86352,                0.86184,                0.90775,                0.62925,                0.86268,                0.86101,                0.91368,                0.61851,                 1.0778,                 1.2728,                0.67139,                0.90372,                0.00604,                0.00604,                0.00604
                     22,                 1.1921,                  1.672,                0.76494,                  1.068,                0.86442,                0.85963,                0.90749,                0.63009,                0.86369,                0.85902,                0.91376,                0.61993,                 1.0774,                 1.2719,                0.67068,                0.90343,               0.005842,               0.005842,               0.005842
                     23,                 1.1909,                 1.6637,                0.76113,                 1.0662,                0.86392,                0.86072,                 0.9078,                0.63038,                0.86363,                0.86053,                 0.9138,                0.61999,                 1.0769,                 1.2707,                0.67007,                0.90321,               0.005644,               0.005644,               0.005644
                     24,                 1.1888,                 1.6598,                0.75989,                 1.0663,                0.86246,                0.86133,                0.90821,                0.63098,                0.86126,                0.86219,                0.91403,                0.61996,                 1.0763,                 1.2701,                0.66937,                0.90298,               0.005446,               0.005446,               0.005446
                     25,                 1.1873,                 1.6571,                0.75879,                 1.0663,                0.86499,                0.86088,                0.90853,                0.63084,                0.86223,                0.86255,                0.91427,                0.62038,                 1.0759,                 1.2692,                 0.6691,                0.90283,               0.005248,               0.005248,               0.005248
                     26,                 1.1881,                  1.657,                0.75849,                 1.0646,                0.86641,                0.86067,                0.90869,                0.63116,                0.86538,                0.86148,                 0.9142,                0.61955,                 1.0756,                 1.2685,                0.66904,                0.90263,                0.00505,                0.00505,                0.00505
                     27,                 1.1868,                 1.6564,                0.75684,                 1.0647,                0.86615,                0.86142,                0.90891,                0.63119,                 0.8652,                0.86256,                0.91442,                0.62011,                 1.0751,                 1.2679,                0.66857,                0.90241,               0.004852,               0.004852,               0.004852
                     28,                 1.1845,                  1.651,                0.75493,                 1.0626,                0.86593,                0.86224,                0.90895,                0.63172,                  0.865,                0.86304,                0.91451,                0.62029,                 1.0747,                  1.267,                0.66783,                 0.9022,               0.004654,               0.004654,               0.004654
                     29,                 1.1832,                 1.6483,                0.75431,                 1.0613,                0.86391,                0.86503,                0.90885,                0.63199,                0.86389,                0.86375,                0.91421,                0.62052,                 1.0743,                 1.2663,                0.66745,                0.90197,               0.004456,               0.004456,               0.004456
                     30,                 1.1825,                 1.6434,                0.75252,                  1.061,                0.86142,                 0.8678,                0.90833,                0.63197,                0.86053,                  0.867,                0.91402,                0.62071,                 1.0741,                 1.2655,                  0.667,                0.90177,               0.004258,               0.004258,               0.004258
                     31,                 1.1811,                 1.6413,                0.75034,                  1.061,                0.86113,                0.86782,                0.90861,                0.63221,                0.85993,                0.86806,                0.91485,                0.62115,                 1.0737,                  1.265,                0.66655,                0.90158,                0.00406,                0.00406,                0.00406
                     32,                 1.1805,                 1.6357,                0.74947,                 1.0593,                0.86179,                0.86751,                0.90854,                0.63277,                0.85848,                0.86853,                0.91501,                0.62194,                 1.0733,                 1.2643,                0.66615,                0.90141,               0.003862,               0.003862,               0.003862
                     33,                 1.1795,                 1.6369,                0.74755,                  1.059,                0.86158,                0.86716,                0.90898,                0.63314,                0.85843,                0.86894,                 0.9153,                0.62312,                 1.0731,                 1.2639,                0.66552,                0.90121,               0.003664,               0.003664,               0.003664
                     34,                 1.1794,                 1.6343,                0.74801,                 1.0591,                0.86162,                0.86733,                 0.9088,                0.63379,                0.86063,                0.86646,                 0.9152,                0.62291,                 1.0725,                 1.2633,                0.66492,                0.90101,               0.003466,               0.003466,               0.003466
                     35,                 1.1769,                  1.627,                0.74389,                 1.0568,                0.86299,                0.86657,                0.90905,                0.63373,                0.86039,                0.86575,                0.91438,                0.62273,                 1.0722,                 1.2631,                0.66439,                0.90083,               0.003268,               0.003268,               0.003268
                     36,                 1.1757,                 1.6255,                0.74463,                 1.0568,                0.86396,                0.86567,                  0.909,                 0.6341,                0.86257,                0.86473,                0.91442,                0.62311,                 1.0717,                 1.2625,                0.66382,                0.90065,                0.00307,                0.00307,                0.00307
                     37,                 1.1725,                 1.6208,                0.74277,                  1.056,                 0.8635,                0.86536,                0.90903,                0.63386,                 0.8625,                0.86464,                0.91446,                0.62283,                 1.0714,                 1.2622,                0.66328,                0.90051,               0.002872,               0.002872,               0.002872
                     38,                 1.1717,                 1.6197,                0.74188,                 1.0565,                0.86562,                0.86405,                0.90941,                0.63423,                0.86472,                0.86331,                0.91467,                0.62326,                 1.0711,                 1.2614,                0.66288,                0.90033,               0.002674,               0.002674,               0.002674
                     39,                 1.1707,                 1.6171,                0.73832,                 1.0543,                0.86596,                 0.8634,                0.90941,                0.63455,                0.86617,                0.86254,                0.91476,                0.62383,                 1.0708,                 1.2612,                0.66235,                0.90018,               0.002476,               0.002476,               0.002476
                     40,                 1.1735,                 1.6161,                0.73838,                 1.0543,                0.86519,                0.86466,                0.90971,                0.63454,                0.86583,                0.86284,                0.91498,                0.62355,                 1.0704,                 1.2608,                  0.662,                0.89998,               0.002278,               0.002278,               0.002278
                     41,                 1.1232,                 1.5174,                0.69816,                 1.0251,                0.86804,                0.86107,                 0.9096,                0.63665,                0.86617,                0.86142,                0.91483,                0.62526,                 1.0669,                 1.2552,                0.65997,                0.89765,                0.00208,                0.00208,                0.00208
                     42,                  1.119,                 1.5064,                0.69312,                 1.0228,                0.87159,                 0.8564,                0.90965,                 0.6378,                0.86929,                0.85698,                0.91479,                0.62639,                 1.0636,                 1.2503,                0.65811,                0.89565,               0.001882,               0.001882,               0.001882
                     43,                 1.1166,                 1.4986,                0.68944,                 1.0225,                0.87293,                0.85554,                0.90976,                0.63869,                 0.8693,                0.85666,                0.91492,                0.62637,                  1.061,                 1.2461,                0.65652,                0.89402,               0.001684,               0.001684,               0.001684
                     44,                 1.1199,                 1.5107,                0.69267,                 1.0249,                 0.8755,                0.85336,                0.90977,                0.63975,                0.87302,                0.85274,                0.91526,                0.62605,                 1.0593,                 1.2434,                0.65575,                  0.893,               0.001486,               0.001486,               0.001486
                     45,                 1.1175,                 1.5028,                0.68892,                 1.0241,                0.87329,                 0.8555,                0.91044,                 0.6396,                0.87164,                0.85553,                0.91544,                0.62552,                 1.0577,                 1.2413,                0.65513,                0.89204,               0.001288,               0.001288,               0.001288
                     46,                 1.1139,                 1.4962,                0.68453,                 1.0215,                0.87599,                0.85427,                0.91107,                0.64017,                 0.8748,                0.85331,                0.91569,                0.62589,                 1.0564,                 1.2391,                0.65424,                0.89119,                0.00109,                0.00109,                0.00109
                     47,                  1.112,                 1.4922,                0.68213,                 1.0214,                0.87858,                 0.8554,                0.91107,                0.64046,                0.87626,                0.85335,                0.91511,                0.62621,                 1.0555,                 1.2374,                0.65345,                0.89052,               0.000892,               0.000892,               0.000892
                     48,                  1.111,                 1.4895,                0.68013,                 1.0208,                0.87848,                0.85474,                0.91096,                0.64033,                0.87662,                0.85173,                0.91545,                0.62575,                 1.0548,                 1.2359,                0.65309,                0.88997,               0.000694,               0.000694,               0.000694
                     49,                 1.1079,                 1.4831,                0.67954,                 1.0187,                0.87937,                0.85397,                 0.9115,                0.64114,                0.87795,                 0.8525,                0.91614,                0.62572,                 1.0538,                 1.2344,                0.65255,                0.88943,               0.000496,               0.000496,               0.000496
                     50,                 1.1064,                 1.4831,                0.67722,                 1.0183,                0.88146,                0.85154,                0.91153,                0.64152,                0.87997,                0.85035,                0.91621,                0.62695,                 1.0533,                 1.2329,                0.65184,                0.88906,               0.000298,               0.000298,               0.000298
