                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.151,                 1.6992,                 1.0466,                0.98302,                0.50948,                0.35073,                0.35789,                0.23845,                0.49744,                0.33958,                0.34061,                 0.2021,                 1.2261,                 2.0372,                 1.0222,                 1.1187,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.1628,                 1.6852,                0.82116,                0.99481,                0.50902,                0.26917,                0.27239,                0.17081,                0.51107,                0.25709,                0.26149,                0.14895,                 1.2597,                 2.1421,                 1.0371,                 1.1511,              0.0065339,              0.0065339,              0.0065339
                      3,                 1.1785,                 1.7003,                0.81735,                 1.0089,                0.50623,                0.25351,                0.24472,                0.15236,                0.51264,                0.23243,                0.23393,                0.12943,                 1.2529,                 2.1092,                 1.0615,                 1.1635,              0.0096032,              0.0096032,              0.0096032
                      4,                 1.1525,                 1.6569,                0.78083,                 1.0027,                0.52538,                0.31678,                 0.3214,                0.20985,                0.51745,                 0.3048,                0.30517,                0.17901,                 1.2062,                 2.0105,                0.96696,                 1.1459,               0.009406,               0.009406,               0.009406
                      5,                 1.1177,                 1.5924,                0.73604,                0.98821,                0.54712,                0.34329,                0.35384,                0.23648,                0.54179,                0.33354,                0.34151,                0.20396,                 1.1947,                 1.9429,                0.97405,                 1.1352,               0.009208,               0.009208,               0.009208
                      6,                  1.095,                 1.5477,                0.70937,                0.98035,                0.54944,                0.36219,                0.37918,                0.25258,                0.54363,                0.35194,                0.36267,                0.21682,                 1.1735,                 1.8937,                0.94413,                  1.126,                0.00901,                0.00901,                0.00901
                      7,                 1.0786,                 1.5247,                0.69197,                0.97406,                0.58229,                0.37416,                0.40531,                0.27491,                 0.5696,                0.36467,                0.38792,                0.23469,                 1.1581,                 1.8627,                0.90523,                 1.1158,               0.008812,               0.008812,               0.008812
                      8,                  1.068,                 1.4945,                  0.677,                0.96879,                0.57146,                0.39278,                 0.4224,                0.29224,                0.56888,                0.37883,                 0.4025,                0.24524,                 1.1461,                 1.8375,                0.89619,                 1.1027,               0.008614,               0.008614,               0.008614
                      9,                 1.0575,                  1.479,                0.66762,                0.96471,                  0.541,                0.41355,                0.42582,                0.29496,                0.55651,                0.40344,                0.41219,                0.25217,                 1.1439,                 1.8328,                0.88832,                 1.1014,               0.008416,               0.008416,               0.008416
                     10,                 1.0517,                 1.4671,                 0.6583,                0.96162,                0.56701,                 0.4133,                0.43441,                0.30088,                 0.5744,                0.39559,                0.41757,                0.25763,                 1.1325,                 1.8094,                0.88335,                 1.0937,               0.008218,               0.008218,               0.008218
                     11,                 1.0445,                 1.4549,                0.65463,                0.95947,                0.57952,                 0.4238,                0.45317,                0.31717,                0.59491,                0.40447,                0.43622,                0.27196,                 1.1224,                 1.7969,                0.84722,                 1.0897,                0.00802,                0.00802,                0.00802
                     12,                  1.037,                 1.4469,                0.64448,                0.95713,                0.58528,                0.44236,                0.45764,                0.32314,                0.57178,                 0.4272,                0.43916,                0.27561,                  1.114,                 1.7838,                 0.8578,                 1.0825,               0.007822,               0.007822,               0.007822
                     13,                 1.0336,                 1.4393,                0.64068,                0.95448,                0.59595,                0.43991,                0.46035,                0.32522,                0.58558,                0.43035,                0.44464,                0.27911,                 1.1136,                 1.7665,                0.85946,                 1.0845,               0.007624,               0.007624,               0.007624
                     14,                 1.0286,                 1.4277,                 0.6332,                0.95066,                0.59708,                0.43953,                0.45803,                0.32422,                0.58709,                0.42673,                0.44232,                0.27829,                 1.1113,                 1.7627,                0.85392,                 1.0815,               0.007426,               0.007426,               0.007426
                     15,                 1.0249,                 1.4267,                0.63215,                0.95175,                0.59801,                0.44308,                0.46097,                0.32561,                0.59299,                0.42984,                0.44536,                0.27901,                 1.1065,                 1.7582,                0.84543,                 1.0788,               0.007228,               0.007228,               0.007228
                     16,                 1.0198,                 1.4126,                  0.626,                0.94914,                0.58922,                0.45114,                 0.4638,                 0.3275,                0.58569,                0.43616,                0.44885,                0.28291,                 1.1058,                 1.7548,                0.84213,                 1.0777,                0.00703,                0.00703,                0.00703
                     17,                 1.0151,                 1.4082,                0.62086,                0.94623,                0.57469,                0.45409,                0.46669,                0.33132,                0.57779,                0.44059,                0.45158,                0.28499,                 1.1056,                  1.752,                0.83715,                 1.0769,               0.006832,               0.006832,               0.006832
                     18,                 1.0131,                 1.4006,                0.61791,                0.94536,                0.58425,                0.44773,                0.46938,                0.33297,                0.59704,                 0.4291,                0.45418,                0.28647,                 1.1045,                 1.7509,                0.83478,                 1.0745,               0.006634,               0.006634,               0.006634
                     19,                 1.0119,                 1.3985,                0.61518,                0.94555,                0.57479,                0.44914,                0.47016,                 0.3335,                0.58905,                0.43373,                0.45627,                0.28828,                  1.104,                 1.7512,                0.83161,                 1.0736,               0.006436,               0.006436,               0.006436
                     20,                 1.0079,                 1.3882,                0.60988,                0.94251,                0.57291,                 0.4474,                0.47109,                0.33418,                0.57225,                 0.4373,                 0.4583,                0.28893,                 1.1028,                 1.7514,                0.83113,                 1.0727,               0.006238,               0.006238,               0.006238
                     21,                 1.0034,                 1.3875,                0.60853,                0.94265,                 0.5684,                0.45014,                0.47231,                0.33565,                0.56853,                0.43903,                0.45958,                0.28995,                 1.1018,                   1.75,                0.82982,                 1.0719,                0.00604,                0.00604,                0.00604
                     22,                 1.0001,                 1.3755,                0.60183,                0.94059,                0.58147,                0.44727,                0.47363,                0.33651,                0.58267,                0.43544,                0.46005,                0.29055,                 1.1015,                  1.749,                0.82898,                 1.0717,               0.005842,               0.005842,               0.005842
